time="2026-01-02T02:19:51+01:00" level=warning msg="/home/elkakas314/vx11/docker-compose.spawner.override.yml: the attribute `version` is obsolete, it will be ignored, please remove it to avoid potential confusion"
vx11-operator-backend-test  | INFO:     127.0.0.1:55182 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:43188 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:54928 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:32910 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:57758 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:49714 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:52458 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:42484 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:59406 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:51804 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:56890 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:47688 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:43424 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:49262 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:48108 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:39642 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:33072 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:53710 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:54380 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:45800 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:41242 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:60262 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:51090 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:55672 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:33950 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:36088 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:34994 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:57452 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:48864 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:43220 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:42276 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:44168 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:49346 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:58772 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:40220 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:56694 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:47080 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:58136 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:60542 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:56702 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:45464 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:49356 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:53022 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:49262 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:33832 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:54536 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:52748 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:54334 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:44048 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:58742 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:51506 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:34658 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:34608 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:53162 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:39648 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:57072 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:56280 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:53502 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:56022 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:46186 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:35642 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:60600 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:56214 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:54224 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:38356 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:38354 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:39936 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:33572 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:35292 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:40578 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:35004 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:48312 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:49356 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:59400 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:59080 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:36994 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:38488 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:33698 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:49560 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:60594 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:33158 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:54654 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:55630 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:55708 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:37722 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:50906 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:38742 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:36068 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:49896 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:54702 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:33162 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:55454 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:59920 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:33258 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:42468 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:44302 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:40568 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:55408 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:46692 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:37440 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:56918 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:36940 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:43626 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:33928 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:52882 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:52524 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:55874 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:43042 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:56882 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:47764 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:45172 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:42154 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:57392 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:42444 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:45800 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:41912 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:60476 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:35114 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:38598 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:42864 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:51540 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:34528 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:38802 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:57588 - "GET /api/health HTTP/1.1" 200 OK
vx11-operator-backend-test  | INFO:     127.0.0.1:42782 - "GET /api/health HTTP/1.1" 200 OK
